Fecha,Libro,Autor,Género,Cantidad,Precio Unitario
2024/01/18,Bajo la luna roja,Mr. Henry Thompson,Autoayuda,5,5.33
2022/04/20,Destino incierto,Kevin Baker,Historia,14,42.62
2023/06/07,Destino incierto,Kelsey Quinn,Romance,17,32
2023/01/14,Sombras en la ciudad,Sandra Santana,Romance,3,11.1
2024/02/03,El arte de la guerra,Eric Burke,Autoayuda,6,37.43
2023/02/27,Bajo la luna roja,Lauren Hayes,Fantasía,9,12.35
2024/08/18,Cien años de soledad,Joshua Jones,No Ficción,10,37.48
2024/04/14,Sombras en la ciudad,Krystal Turner,Terror,16,28.8
2023/12/01,El arte de la guerra,Troy Smith,Misterio,13,7.11
2023/01/30,Crónicas de un viajero,Holly Fisher,Misterio,11,43.54
2021/05/11,Mentes brillantes,Dr. Harry Hubbard,Historia,19,20.23
2023/12/16,Cien años de soledad,Jeffrey Wilson,Autoayuda,8,12.69
2022/04/10,Sombras en la ciudad,Samantha Morris,Romance,5,14.88
2023/04/06,El enigma de la cueva,Samantha Kim,Fantasía,16,27.01
2024/11/29,Cien años de soledad,Stephanie Melton,Terror,10,12.85
2023/07/28,Bajo la luna roja,Cody Hooper,Autoayuda,9,34.51
2024/04/02,El enigma de la cueva,Alex Jones,Romance,1,7.43
2024/04/12,Mentes brillantes,Michael Russell,Ficción,15,23.75
2023/04/08,El último amanecer,Stephanie Simpson,Ficción,4,44.86
2022/02/25,La sombra del viento,Claudia Anderson,Romance,14,49.56
2023/05/25,Sombras en la ciudad,James Lewis,No Ficción,12,46.66
2022/09/10,Crónicas de un viajero,James Day,Ficción,3,34.38
2024/09/29,Crónicas de un viajero,Jeff Ingram,Misterio,16,48.88
2023/01/10,Bajo la luna roja,Jacqueline Young,Fantasía,19,36.03
2022/10/29,El último amanecer,Kevin Gomez,Historia,19,24.1
2022/09/19,Sombras en la ciudad,Sean Nixon,No Ficción,15,29.65
2021/10/06,El enigma de la cueva,Andrew Mcguire,Autoayuda,10,46.89
2023/06/16,Bajo la luna roja,Gregory Stewart,Terror,16,9.7
2023/12/24,Cien años de soledad,Heather Crosby,No Ficción,9,42.79
2023/02/16,Sombras en la ciudad,Anna Miller,Misterio,6,31.72
2021/04/06,Destino incierto,Donald Aguilar,Fantasía,2,36.26
2023/12/15,Crónicas de un viajero,Scott Anderson,No Ficción,3,17.37
2022/11/23,Cien años de soledad,Lisa Carter,No Ficción,19,21.08
2024/10/29,Crónicas de un viajero,Carolyn Cook,Ciencia,11,5
2024/08/26,El enigma de la cueva,Scott Leach,Historia,18,45.49
2023/03/21,Mentes brillantes,Jeremiah Alexander,Autoayuda,3,8.15
2023/06/14,Mentes brillantes,Dana Wood,Fantasía,11,24.29
2021/10/04,Crónicas de un viajero,Stephen Ortiz,Autoayuda,11,32.12
2021/09/30,La sombra del viento,Brent Cross,Ficción,12,20.06
2022/11/14,Destino incierto,Julia Klein,Fantasía,20,36.17
2024/09/18,Sombras en la ciudad,Jonathan Diaz,Ciencia,12,14.37
2023/05/16,El último amanecer,Amanda Gomez,Ciencia,2,38.4
2022/10/29,La sombra del viento,Victoria Hurley,Romance,10,45.06
2024/07/31,El último amanecer,Kelly Scott,Terror,14,47.29
2023/04/23,Cien años de soledad,Cynthia Hernandez,Ciencia,11,49.33
2023/12/24,Bajo la luna roja,Jermaine Arnold,Fantasía,7,45.4
2024/02/24,La sombra del viento,Timothy Carrillo,Romance,18,43.89
2024/02/03,El alquimista,Alyssa Mcbride,Fantasía,14,34.23
2024/03/29,El arte de la guerra,Janet Powell,No Ficción,1,35.9
2022/11/10,El enigma de la cueva,Lori Lucero,Misterio,19,36.96
2021/12/29,El misterio del tiempo,Michael Castaneda,Ciencia,5,37.59
2023/10/16,Sombras en la ciudad,Emily Roberts,Ficción,20,28.09
2022/02/11,Crónicas de un viajero,Andrew Patterson,Romance,17,7.94
2022/01/16,Destino incierto,Cheryl Dixon,Historia,17,39.77
2023/02/21,Destino incierto,Joshua Marshall,Ficción,13,9.72
2023/04/21,Sombras en la ciudad,Richard Escobar,No Ficción,1,48.28
2021/08/22,Secretos ocultos,Miss Carla Marshall,Romance,14,16.64
2021/06/18,Crónicas de un viajero,Stephanie Johnson,No Ficción,7,18.05
2025/01/28,Cien años de soledad,Cynthia Flores,Romance,8,11.14
2022/04/14,La teoría del todo,Charles Peck,Romance,8,48.85
2022/10/31,El misterio del tiempo,Paul Mckenzie,Romance,1,19.18
2024/05/20,El misterio del tiempo,Sean Silva,Romance,15,17.9
2023/07/11,El misterio del tiempo,Benjamin Gregory,Ficción,19,21.45
2023/04/09,Crónicas de un viajero,Brian Moore,Romance,14,32.04
2023/03/30,Bajo la luna roja,Katherine Adams,No Ficción,12,15.66
2021/10/04,Mentes brillantes,Shawn Smith,Ciencia,15,26.73
2022/11/11,La teoría del todo,Rebecca Wade,Ficción,8,17.77
2021/05/31,La teoría del todo,Edwin Delacruz,Autoayuda,11,35.32
2024/02/25,Crónicas de un viajero,Paula Lopez,Misterio,8,41.66
2021/09/09,Sombras en la ciudad,Cody Ware,Autoayuda,8,32.13
2022/02/02,El último amanecer,Samuel Hicks,Ficción,2,31.71
2023/08/01,El alquimista,Michele Rubio,Romance,4,5.32
2024/07/20,El arte de la guerra,Julie James,No Ficción,12,20.22
2022/11/12,El arte de la guerra,Antonio Kelly,Terror,15,35.68
2023/11/06,El misterio del tiempo,Mitchell Adams,Autoayuda,16,10.19
2024/10/13,El misterio del tiempo,Deborah Delgado,Autoayuda,11,46.92
2025/03/26,Secretos ocultos,Mark Kent,Fantasía,19,20.14
2025/01/06,Crónicas de un viajero,Kevin White,Autoayuda,1,23.03
2023/09/16,El misterio del tiempo,Lisa Lopez,Romance,5,34.81
2023/09/21,Cien años de soledad,Candace Donaldson,Autoayuda,18,29.17
2022/04/22,Las voces del pasado,Erin Miller,Historia,19,35.68
2024/03/22,El último amanecer,Heidi Lutz,Ciencia,6,27.92
2022/03/06,Secretos ocultos,Erika Rangel,Ciencia,15,30
2023/04/12,Mentes brillantes,Thomas Ryan,Autoayuda,1,9.81
2022/03/04,El enigma de la cueva,Nancy Mccarthy,Romance,11,47.08
2025/02/12,La sombra del viento,Kathleen Mclaughlin,Historia,14,9.41
2021/05/16,El alquimista,Christina Sanchez,Terror,15,44.77
2024/07/24,Secretos ocultos,Sarah Rodriguez,Terror,13,31.09
2022/12/22,Bajo la luna roja,Justin Luna,Ficción,8,26.41
2025/01/02,El misterio del tiempo,Natalie Jones,Terror,17,35.08
2022/06/17,Cien años de soledad,Jay Reynolds,Autoayuda,1,19.41
2021/06/12,La teoría del todo,Veronica Young,Ciencia,17,37.45
2023/04/17,El último amanecer,Brian Bender,Ciencia,6,38.49
2022/08/10,Mentes brillantes,Megan Hendricks,Romance,2,14.04
2022/02/02,La teoría del todo,Miss Bianca Powers,Romance,1,24.62
2024/06/20,La sombra del viento,Justin Wilson,Misterio,1,18
2021/10/26,El enigma de la cueva,Cassidy Davis,Ciencia,15,36.92
2021/10/13,Bajo la luna roja,Nancy Thompson,Historia,20,38.95
2021/10/30,El enigma de la cueva,Connie Campbell,Historia,12,31.72
2023/05/20,Bajo la luna roja,Lisa Meyer,Misterio,17,38.97
2024/04/18,El misterio del tiempo,James Nguyen,Romance,1,31.94
2024/11/03,Crónicas de un viajero,Matthew Rogers,Ficción,15,5.76
2023/03/18,Secretos ocultos,Johnathan Trujillo,Terror,9,50
2023/04/21,Bajo la luna roja,Brenda Arroyo,Misterio,16,22.8
2022/05/27,Bajo la luna roja,Michele Garcia,Ficción,12,12.21
2024/08/05,Secretos ocultos,Jose Herrera,Autoayuda,11,19.04
2023/05/03,El misterio del tiempo,Joseph Lawson,Ficción,6,40.09
2022/11/20,El último amanecer,Annette Watkins,Fantasía,11,20.15
2021/04/18,El último amanecer,Emily Petersen,Terror,5,45.12
2022/03/28,El enigma de la cueva,Danny Smith,Historia,5,37.67
2024/09/04,Cien años de soledad,Linda Contreras,Misterio,3,5.65
2023/06/15,Bajo la luna roja,Jane Villanueva,Misterio,1,11.55
2021/08/17,El misterio del tiempo,Rachel Garcia,Romance,11,43.75
2024/04/13,El alquimista,John Wright,Historia,8,45.29
2022/03/06,Destino incierto,Cody Flores,Ficción,20,38.1
2022/10/23,Sombras en la ciudad,Jason Mckinney,Fantasía,5,25.63
2025/02/10,Mentes brillantes,Catherine Harris,Ficción,17,5.2
2023/01/02,El alquimista,Rita Evans,Autoayuda,2,12.18
2021/11/13,Destino incierto,Jonathan Pittman,Fantasía,10,34.4
2022/05/16,Bajo la luna roja,Mrs. Angela Mcdonald MD,Terror,9,38.1
2024/09/14,Sombras en la ciudad,Cathy Kirby,Ficción,4,10.04
2023/04/01,Sombras en la ciudad,Theresa Perez DDS,Historia,10,24.77
2024/03/12,La sombra del viento,Jay Warren,Historia,13,25.28
2024/10/24,El enigma de la cueva,Joel Everett,Fantasía,14,10.48
2024/11/27,El misterio del tiempo,Brianna Gray,Autoayuda,13,32.14
2021/07/20,Secretos ocultos,Ryan Mitchell,Misterio,16,34.69
2024/03/31,Las voces del pasado,Robert Rodriguez DDS,Ficción,13,46.9
2023/07/02,Bajo la luna roja,Kaitlin Castro,Autoayuda,18,5.58
2022/11/06,Destino incierto,Bradley Madden,Autoayuda,16,5.57
2021/08/07,La sombra del viento,James Olson,Autoayuda,13,8.17
2021/07/26,El arte de la guerra,Michael Ibarra,Terror,9,43.84
2023/07/17,Destino incierto,Jonathan Wilson,Autoayuda,11,44.16
2021/06/02,El misterio del tiempo,John Day,Historia,2,18.68
2021/05/19,Sombras en la ciudad,Anne Coleman,Ficción,6,8.04
2022/05/15,La sombra del viento,Michelle Cox,Terror,11,24.21
2024/10/03,Secretos ocultos,Stephen Heath,Terror,15,9.97
2022/02/22,La sombra del viento,Brian Maddox,Fantasía,5,23.2
2021/05/25,Cien años de soledad,Kelly Casey,Ciencia,11,49.35
2021/05/23,La sombra del viento,Matthew Hill,Ficción,5,6.97
2023/04/09,Secretos ocultos,Christopher Avery,Fantasía,12,28.08
2022/04/27,La teoría del todo,Christina Lowe,Terror,18,42.71
2024/06/21,Sombras en la ciudad,Kenneth Stevenson,Ficción,4,25.78
2024/09/05,Las voces del pasado,Angela Smith,Fantasía,1,44.02
2024/03/12,La teoría del todo,David Nelson,Historia,3,23.36
2021/09/24,Mentes brillantes,Don Holt,Misterio,14,14.06
2022/06/29,El arte de la guerra,Ann Rivera,Terror,8,5.15
2022/03/05,Cien años de soledad,Glenn Lucas,Historia,16,10.55
2023/11/07,Sombras en la ciudad,Deborah Pollard,No Ficción,12,5.48
2024/09/08,El alquimista,Joy Lopez,Autoayuda,15,22.48
2024/06/01,Sombras en la ciudad,Lisa Bowman,Romance,2,14
2023/01/10,El último amanecer,Todd Boyd,Fantasía,8,17.95
2023/01/14,Secretos ocultos,Michael Snyder,No Ficción,14,26.73
2021/08/08,Secretos ocultos,Lori Le,Autoayuda,4,9.49
2022/06/15,El enigma de la cueva,Angela Hanna,Fantasía,20,13.44
2021/04/16,Bajo la luna roja,Summer Marshall,Ficción,6,5.47
2021/07/03,El enigma de la cueva,Kevin Cruz,Autoayuda,13,8.01
2023/11/14,Sombras en la ciudad,Matthew Williams,Terror,5,40.84
2023/10/01,El enigma de la cueva,Daniel Freeman,Historia,19,5.53
2022/10/10,Cien años de soledad,Yolanda Perez,Autoayuda,14,15.2
2024/02/18,Las voces del pasado,Joseph Bradshaw,Ciencia,13,47.62
2024/12/03,La teoría del todo,William Meyer,Ciencia,20,13.75
2022/08/11,Sombras en la ciudad,Dylan Casey,Romance,15,31.28
2022/12/02,Crónicas de un viajero,Sonya Nelson,Terror,4,37.76
2022/12/21,El misterio del tiempo,John Jones,Ficción,18,14.85
2021/07/07,El misterio del tiempo,Michael Holmes,Romance,20,17.79
2021/10/01,Destino incierto,Cameron Espinoza,Ciencia,6,34.88
2022/07/28,El arte de la guerra,Rebecca Davis,Misterio,17,13.16
2022/07/07,El enigma de la cueva,Joshua Norman,Fantasía,1,16.26
2024/08/22,Sombras en la ciudad,Robert Ross,Misterio,17,22.29
2021/03/30,El último amanecer,Manuel Sellers,Historia,6,36.32
2022/04/22,El último amanecer,Fernando Harvey,No Ficción,11,44.18
2023/06/29,Las voces del pasado,Angela Ward,Fantasía,8,21.07
2024/01/17,Bajo la luna roja,Tanya Mason,Fantasía,18,16.89
2025/02/03,Destino incierto,Austin Smith,Ciencia,12,40.69
2023/05/01,Destino incierto,Theresa Nichols,Romance,18,39.98
2021/06/16,Bajo la luna roja,Chad Ward,Fantasía,17,23.75
2024/06/03,La sombra del viento,Tracey Diaz,No Ficción,6,12.62
2024/10/24,El último amanecer,Paul Holt,Ciencia,17,25.27
2023/01/12,Cien años de soledad,Thomas Smith,Ciencia,11,45.15
2023/01/27,El último amanecer,Timothy Fitzgerald,Ficción,20,46.8
2022/04/24,El enigma de la cueva,Kayla Chapman,Autoayuda,8,49.16
2023/02/24,El enigma de la cueva,Raymond Glenn,Autoayuda,16,24.6
2022/10/15,Cien años de soledad,Ricky Gallagher,Terror,7,6.96
2022/01/15,El misterio del tiempo,Alyssa Thomas,Ciencia,10,11.66
2022/12/08,Mentes brillantes,Sarah Hill,Ciencia,15,34.39
2022/12/06,El misterio del tiempo,Wendy Villegas,Misterio,2,15.07
2021/12/08,Mentes brillantes,Susan Romero MD,Terror,15,7.67
2023/09/27,Sombras en la ciudad,Julie Duncan,Romance,8,22.44
2024/11/09,Cien años de soledad,Pamela Schwartz,Terror,7,8.32
2023/04/17,Secretos ocultos,Michelle Sharp,Misterio,16,11.32
2022/09/29,El misterio del tiempo,Mark Jones,Romance,13,9.35
2022/02/08,La teoría del todo,Ashley Gray,Autoayuda,17,15.65
2022/11/27,Mentes brillantes,Victoria Thomas,Autoayuda,8,34.97
2022/08/10,El alquimista,Michelle Estrada,Ciencia,6,18.25
2021/09/30,El alquimista,Aaron Murray PhD,Historia,17,27.53
2022/01/21,El arte de la guerra,Jamie Shaw,Terror,8,16.39
2025/01/12,Las voces del pasado,Meredith Wilson,Misterio,13,14.66
2024/01/14,El alquimista,Jamie Reid,Autoayuda,17,38.4
2021/07/16,El alquimista,Sheila Edwards,Ficción,12,47.25
2024/12/05,Mentes brillantes,Sarah Blake,Misterio,19,36.21
2023/06/19,Cien años de soledad,Michele Freeman,Ciencia,16,37.25
2022/06/20,Cien años de soledad,Cheryl Austin,Ficción,10,34.38
2023/06/22,Crónicas de un viajero,William Mcclure,Historia,4,9.52
2024/08/04,El último amanecer,Bobby Andrews,Fantasía,2,14.9
2023/04/13,La teoría del todo,Kevin Hayes,Fantasía,13,25.27
2021/07/04,El enigma de la cueva,Sarah Newman,Misterio,20,10.23
2025/01/01,Crónicas de un viajero,Jennifer Gibbs,Terror,10,33.93
2022/10/13,Mentes brillantes,Regina Ferguson,Terror,1,44.45
2021/07/08,Las voces del pasado,James French,No Ficción,9,46.51
2022/10/07,Mentes brillantes,Steven Brown,Romance,4,21.62
2024/08/31,El misterio del tiempo,Deborah Hamilton,Fantasía,12,17.96
2022/01/23,Destino incierto,Amy Young,Terror,13,33.88
2023/01/31,El misterio del tiempo,Alexis Singleton,Ficción,9,26.84
2024/02/22,Crónicas de un viajero,Mark Holland,Terror,12,33.15
2023/06/16,El enigma de la cueva,Ms. Mary Hall PhD,Historia,9,14.26
2022/05/27,El último amanecer,Nicole Hall,Misterio,9,34.56
2021/05/27,Secretos ocultos,Daniel Craig,Misterio,18,13.94
2024/01/07,El misterio del tiempo,Bradley Lloyd,Romance,14,31.8
2025/02/19,Destino incierto,Jamie Casey,Ciencia,3,37.05
2022/09/03,Sombras en la ciudad,Travis Schultz,Historia,10,13.99
2023/11/15,Cien años de soledad,Angela Jenkins,Misterio,19,39.67
2021/12/23,Bajo la luna roja,Ronald Sullivan,Misterio,6,7.43
2023/05/12,Mentes brillantes,Caitlin Cole,Historia,14,29.92
2023/09/19,El último amanecer,Brittany Alvarez,Fantasía,16,23.57
2023/12/17,La sombra del viento,Nathan Nelson,No Ficción,4,19.42
2024/04/07,Las voces del pasado,Bobby Sanchez,Autoayuda,18,10.83
2024/05/23,La teoría del todo,Karen Brown,No Ficción,10,10.41
2022/03/29,Bajo la luna roja,Joseph Davidson,No Ficción,3,41.2
2022/10/13,Las voces del pasado,Ann Phillips,Ciencia,16,31.27
2025/02/04,El enigma de la cueva,Ronnie Salinas,Historia,19,13.05
2023/11/29,La teoría del todo,Gary Baxter,Autoayuda,9,39.85
2024/02/19,El enigma de la cueva,Steven Wright,Romance,17,39.3
2022/04/28,Secretos ocultos,Susan Martinez,No Ficción,8,9.36
2022/03/04,Las voces del pasado,Alexandra Cunningham,Misterio,17,37.95
2022/03/09,Mentes brillantes,Daniel Wilson,Historia,17,26.44
2022/12/05,La sombra del viento,Dana Contreras,Autoayuda,15,40.39
2024/12/17,La teoría del todo,Christopher Graham,Romance,10,49.31
2021/04/07,El enigma de la cueva,Jeffrey Henderson,Misterio,14,22.55
2022/12/22,Sombras en la ciudad,John Wilkinson,No Ficción,6,29.58
2021/12/12,El misterio del tiempo,Nicholas Burton,Ciencia,5,28.88
2024/06/21,La teoría del todo,Donna Jackson,No Ficción,19,32.29
2023/02/20,El arte de la guerra,Cody Dean,Fantasía,15,29.43
2024/12/07,Mentes brillantes,Karen Lopez,Romance,12,27.73
2025/03/02,Mentes brillantes,Donna Wong,Terror,6,12.22
2021/06/04,El misterio del tiempo,Tiffany Hughes,Ficción,15,24.16
2022/10/10,El alquimista,Michelle Sims,Romance,19,49.86
2024/04/29,El alquimista,Debra Griffin,Ficción,13,25.36
2024/01/26,El enigma de la cueva,Stacey Brady,Misterio,7,9.69
2023/05/29,Crónicas de un viajero,Angela Williams,Fantasía,10,42.61
2023/07/23,Las voces del pasado,Mark Roberts,Autoayuda,14,5.7
2022/10/19,Mentes brillantes,Betty Robertson,Historia,14,41.22
2024/04/28,Bajo la luna roja,Charles Melendez,Autoayuda,19,41.15
2022/04/14,El arte de la guerra,Jesse Fox,Misterio,16,7.07
2023/03/16,Secretos ocultos,Amanda Choi,Ficción,12,17.09
2024/07/08,Las voces del pasado,Joshua Vasquez,Ciencia,18,13.27
2024/07/13,El enigma de la cueva,Amanda Hill,Historia,15,33.3
2024/06/12,Las voces del pasado,Lonnie Khan,Terror,13,45.18
2022/12/27,Crónicas de un viajero,Kathryn Simpson,Ciencia,9,21.98
2021/11/04,El arte de la guerra,Briana Parker,No Ficción,15,46.57
2024/08/02,El misterio del tiempo,Stephen Foley,No Ficción,8,45.13
2021/11/27,Cien años de soledad,Daniel Smith,Autoayuda,8,45.1
2021/08/31,Las voces del pasado,Daniel Fischer,Historia,5,33.64
2022/12/31,El misterio del tiempo,Madeline Chapman,No Ficción,10,38.27
2024/03/17,El enigma de la cueva,Stanley Harrington,Terror,1,33.42
2023/02/20,Las voces del pasado,Sandra Jacobs,Historia,13,17.32
2023/10/28,Crónicas de un viajero,Charles Kelly,Autoayuda,14,45.48
2021/06/06,El arte de la guerra,Paul Vega,No Ficción,5,27.59
2025/01/16,La sombra del viento,Joshua Griffith PhD,Misterio,15,30.31
2022/10/23,La sombra del viento,Leslie Robertson,Ficción,9,15.07
2025/03/03,Mentes brillantes,Robin Khan,Romance,8,29.22
2024/06/10,El arte de la guerra,Julie Snyder,Romance,6,29.9
2024/02/18,Bajo la luna roja,Bianca Ingram,Ciencia,19,5.97
2021/09/23,El alquimista,Megan Bennett,Ficción,20,15.81
2025/03/07,El misterio del tiempo,Jessica Jones,Ficción,6,32.19
2022/11/23,La sombra del viento,Billy Harris,Autoayuda,1,13.31
2023/07/28,El alquimista,Robert Ellis,Romance,2,30.83
2021/04/27,El enigma de la cueva,Sarah Adams,Misterio,7,26.04
2022/03/25,Destino incierto,Keith Pierce,Ficción,18,26.95
2021/12/16,Destino incierto,Sharon Stuart,Fantasía,6,5.06
2023/09/28,El arte de la guerra,Stephanie Terry,No Ficción,2,31.88
2022/06/08,Crónicas de un viajero,Sheila Sutton,Ciencia,2,34.09
2024/10/03,El enigma de la cueva,Tyler Douglas,Ciencia,18,43.21
2024/10/17,La sombra del viento,Brandon Haynes,No Ficción,15,7.27
2022/10/21,El alquimista,Javier Smith,Misterio,8,36.54
2021/08/08,La sombra del viento,Veronica Lawrence,Ciencia,14,40.59
2024/08/05,Bajo la luna roja,Jessica Wilson,Fantasía,1,28.69
2022/12/02,Secretos ocultos,Chelsea Beard,Autoayuda,10,48.52
2024/04/13,Cien años de soledad,Ashley Snyder,Autoayuda,14,8.17
2021/05/05,La teoría del todo,Anne Wong,Misterio,1,18.08
2025/01/06,Cien años de soledad,Samuel Harris,Autoayuda,4,12.52
2022/07/06,Bajo la luna roja,Joseph Marks,Terror,19,40.01
2023/03/01,El alquimista,Adrian Mckenzie,Autoayuda,16,16.98
2024/09/28,El alquimista,Travis Davis,Autoayuda,8,39.31
2024/01/19,Crónicas de un viajero,Tina Williams,Terror,15,43.29
2023/12/06,Bajo la luna roja,Stephen Walton,Fantasía,10,9.94
2023/07/18,Mentes brillantes,David Nelson,Romance,16,12.94
2022/08/26,El enigma de la cueva,Madison Clayton,Romance,5,28.8
2023/08/30,El enigma de la cueva,Stuart Jones,Fantasía,20,44.39
2022/05/07,Bajo la luna roja,Paul Yates,No Ficción,19,15.92
2023/01/17,Cien años de soledad,Amanda Ramirez,Terror,17,15.01
2024/08/17,El misterio del tiempo,David Hurst,Misterio,10,35.25
2024/11/29,La teoría del todo,Megan Navarro,Ficción,11,23.87
2022/12/22,Crónicas de un viajero,Robert Krueger,Autoayuda,11,32.87
2021/04/04,Sombras en la ciudad,John Preston,Misterio,17,47.97
2023/08/14,La teoría del todo,Robert Thornton,Historia,2,11.54
2024/07/15,El alquimista,Ronald Patrick,Misterio,4,10.12
2024/08/05,Bajo la luna roja,Scott Cook,Autoayuda,12,31.69
2022/06/26,Bajo la luna roja,Rebecca Roberts,Fantasía,8,38.3
2022/12/02,Las voces del pasado,Amber Sanchez,Terror,12,41.72
2022/08/17,Las voces del pasado,Kevin Casey,Romance,16,28.32
2022/02/17,La teoría del todo,Brian Downs,Terror,16,29.2
2021/07/21,Destino incierto,Frederick Lyons,No Ficción,20,5.25
2021/06/29,Destino incierto,Shannon Jones,No Ficción,20,23.92
2024/06/12,Secretos ocultos,Melissa Stone,Autoayuda,9,26.81
2021/11/01,Cien años de soledad,Joseph Mayer,Ciencia,4,7.83
2021/11/16,La sombra del viento,Shannon Hayes,Historia,2,13.59
2022/06/23,El último amanecer,Kathy Adams,Autoayuda,1,26.03
2023/06/19,El arte de la guerra,Sarah Glenn,Historia,17,6.52
2022/05/15,La teoría del todo,Brooke Estrada,Misterio,11,22.52
2022/04/27,La sombra del viento,Billy Rodgers,Fantasía,5,44.31
2022/06/07,El último amanecer,Ronald Cox,Misterio,7,48.61
2025/01/27,Secretos ocultos,Jacqueline Hickman,No Ficción,19,5.99
2025/03/09,Destino incierto,Steven Rivas,Terror,18,31.45
2025/03/29,El alquimista,Joan Lewis,Fantasía,2,30.1
2022/02/02,Secretos ocultos,Paul Hernandez,Autoayuda,9,20.05
2022/06/25,Mentes brillantes,David Mueller,Autoayuda,20,11.61
2023/08/08,Sombras en la ciudad,Thomas Whitehead,Misterio,12,22.96
2022/05/19,Secretos ocultos,Miguel Dean,Historia,18,30.75
2024/07/26,Mentes brillantes,Alan Martinez,Terror,9,30.59
2024/10/06,El alquimista,Jeff Gordon,Romance,8,35.66
2025/03/12,Cien años de soledad,April Thomas,Romance,5,30.56
2023/02/14,Mentes brillantes,Ryan Payne,Fantasía,13,23.98
2024/08/20,El arte de la guerra,Amy Wood,Fantasía,18,40.51
2024/07/24,La sombra del viento,Jennifer Page,Autoayuda,2,11.58
2023/07/13,El último amanecer,Kimberly Sexton,Fantasía,2,14.49
2023/10/20,Bajo la luna roja,Eric Herrera,Romance,13,29.87
2024/12/18,Sombras en la ciudad,Karen Beasley,Ciencia,12,9.5
2021/10/21,Las voces del pasado,Crystal Harris,Fantasía,7,40.54
2022/05/15,El alquimista,Andrea Roberts MD,Ficción,16,29.83
2023/01/08,Secretos ocultos,Nicole Garcia MD,Historia,1,27.2
2023/08/17,Bajo la luna roja,Whitney May,Ciencia,9,29.57
2023/12/24,El misterio del tiempo,Daniel Salas,Historia,20,18.11
2024/08/13,Crónicas de un viajero,Eric Adams,Romance,11,6.21
2023/02/25,Bajo la luna roja,Kathryn Acevedo,Ciencia,4,18.55
2022/08/18,Destino incierto,Ronald Logan,Ciencia,3,23.79
2022/05/13,Destino incierto,James Miller,Autoayuda,18,10.23
2023/02/11,El misterio del tiempo,Kyle Marks,Fantasía,12,47.13
2021/10/18,Crónicas de un viajero,Nancy Graham,Ficción,6,24.86
2021/05/05,Las voces del pasado,Kristina Jordan,No Ficción,19,30.83
2021/11/02,La sombra del viento,Laurie Reyes,No Ficción,2,15.14
2023/05/01,El último amanecer,Vanessa Jones,Ficción,12,40.16
2023/12/04,El último amanecer,Mark Torres,No Ficción,20,37.68
2024/11/12,Destino incierto,Christine Hill,Ciencia,2,42.48
2021/06/03,Sombras en la ciudad,Melissa Hudson,Terror,18,32.62
2024/06/11,El alquimista,Michael Simmons,Ficción,16,25.52
2024/07/07,El enigma de la cueva,Dr. Kayla Baker,Autoayuda,3,9
2023/02/01,Crónicas de un viajero,Robert Davis,Misterio,1,30.94
2022/10/29,El enigma de la cueva,Danielle Burns,Historia,2,17.44
2021/09/12,El último amanecer,Lauren Adams,Ciencia,19,40.68
2022/03/05,Sombras en la ciudad,Jason Poole,Historia,1,11.17
2023/05/21,El misterio del tiempo,Kara Parker,Terror,12,33.95
2021/08/12,El enigma de la cueva,Mary Arias,No Ficción,18,26.14
2022/06/06,Mentes brillantes,Lori Jones,Terror,4,29.81
2021/11/27,Bajo la luna roja,Justin Marshall,No Ficción,10,38.08
2023/05/08,El último amanecer,Diana Hopkins,No Ficción,17,14.23
2025/03/23,El último amanecer,Tara Logan,No Ficción,13,41.02
2024/07/19,La teoría del todo,Jeremy Hughes,Ficción,2,13.74
2024/06/07,Cien años de soledad,Joshua Benjamin,Historia,6,26.13
2023/04/29,Cien años de soledad,William Sims,Autoayuda,2,8.76
2021/11/25,El misterio del tiempo,Lynn Allen,Terror,2,8.7
2024/04/17,El enigma de la cueva,Henry Moreno,Misterio,14,33.33
2023/05/14,El último amanecer,Benjamin Gutierrez,Historia,7,10.22
2022/07/05,Crónicas de un viajero,Sarah Gallagher,Romance,7,18.01
2022/05/13,Mentes brillantes,Benjamin Jones,Autoayuda,11,40.23
2023/08/16,Bajo la luna roja,Bradley Diaz,Autoayuda,7,29.91
2021/10/02,El arte de la guerra,Spencer Wright,Ciencia,2,41.63
2022/01/05,El arte de la guerra,Michelle Williams,Ficción,7,31.55
2024/10/23,Sombras en la ciudad,Katherine Olson,Terror,2,38.14
2022/11/18,La sombra del viento,Christopher Prince,Romance,14,30.91
2021/10/11,El misterio del tiempo,Mrs. Erin Lopez,Fantasía,8,49.99
2023/11/26,Crónicas de un viajero,Alexis Davis,No Ficción,9,12.14
2022/02/23,Bajo la luna roja,Cindy Garcia,Fantasía,5,42.11
2025/03/27,El arte de la guerra,Zachary Hensley,Autoayuda,10,20.42
2022/02/28,El alquimista,Leslie Fisher,Misterio,20,49.89
2021/08/13,La sombra del viento,Christopher Chandler,Terror,19,47.29
2024/10/24,El enigma de la cueva,Dana Greene,Terror,9,40.68
2021/12/06,Las voces del pasado,Jessica Johnson,Misterio,15,13.12
2024/01/11,Destino incierto,Pam Harris,Romance,3,10.85
2023/05/16,La teoría del todo,Gabriel Fernandez,Misterio,14,20.01
2022/05/03,Crónicas de un viajero,Cheryl Robinson,Terror,6,26.48
2024/06/29,El alquimista,Cynthia Oconnor,Historia,3,45.82
